label,cache_size,seed,reps,new_tokens,host,platform,python,torch,store_path,median_s,p90_s,mean_s,min_s,max_s,median_tok_s,p90_tok_s,mean_tok_s,best_tok_s,worst_tok_s,calls,hits,misses,hit_rate,inserts,evictions,fetch_ms,convert_ms,raw_slowdown,lru_slowdown
memory,0,42,5,32,Zengs-MacBook-Pro.local,macOS-15.3.1-x86_64-i386-64bit,3.9.6,2.2.2,,0.128415,0.142644,0.131404,0.121863,0.148094,249.192326,224.334745,243.523578,262.590198,216.079066,,,,,,,,,0.053692,0.000000
disk-raw-cache0,0,42,5,32,Zengs-MacBook-Pro.local,macOS-15.3.1-x86_64-i386-64bit,3.9.6,2.2.2,/tmp/engram-tiny-store,0.135310,0.139991,0.135640,0.130423,0.141321,236.494508,228.586829,235.918357,245.355367,226.434944,160.000000,0.000000,185.000000,0.000000,0.000000,0.000000,21.005039,1.425554,0.053692,
disk-lru-cache4096,4096,42,5,32,Zengs-MacBook-Pro.local,macOS-15.3.1-x86_64-i386-64bit,3.9.6,2.2.2,/tmp/engram-tiny-store,0.120154,0.128271,0.122686,0.118341,0.128691,266.325096,249.472641,260.827940,270.404542,248.657718,160.000000,158.000000,27.000000,0.854054,27.000000,0.000000,3.552665,2.028625,,0.000000
