label,cache_size,seed,reps,new_tokens,median_s,p90_s,mean_s,min_s,max_s,median_tok_s,p90_tok_s,mean_tok_s,best_tok_s,worst_tok_s,raw_slowdown,lru_slowdown
memory,0,42,7,64,0.162123,0.189364,0.167520,0.143196,0.207398,394.760926,337.974271,382.042820,446.938784,308.584808,0.397915,0.611541
disk-raw-cache0,0,42,7,64,0.226635,0.246262,0.226777,0.208226,0.260424,282.392716,259.885433,282.215473,307.358050,245.752950,,
disk-lru-cache4096,4096,42,7,64,0.261269,0.307661,0.266779,0.211961,0.340555,244.958622,208.021483,239.898777,301.941955,187.928686,,
